musicId,fileName,title,artist,album,duration,chorus_start_time,chorus_end_time
1,1.mp3,Good Drank,2 Chainz,"Def Jam Presents: Direct Deposit, Vol. 2",32.1,02:35,03:05
5,5.mp3,No Heart,21 Savage,Savage Mode,84.23,00:41,02:03
6,6.mp3,Red Opps,21 Savage,Red Opps,29.53,02:16,02:44
8,8.mp3,PRBLMS,6LACK,FREE 6LACK,40.14,02:10,02:48
10,10.mp3,Drowning,A Boogie Wit Da Hoodie,Drowning,32.1,02:43,03:13
14,14.mp3,I’m Sorry,Adam Wakefield,I’m Sorry (The Voice Performance),26.1,01:55,02:19
16,16.mp3,When I Call Your Name (The Voice Performance),Adam Wakefield,The Complete Season 10 Collection (The Voice Performance),51.16,02:06,02:55
18,18.mp3,Send My Love (To Your New Lover),Adele,Send My Love (To Your New Lover),52.16,02:50,03:40
23,23.mp3,How Far I'll Go(Alessia Cara Version),Alessia Cara,Moana (Original Motion Picture Soundtrack),28.09,02:19,02:45
25,25.mp3,Scars To Your Beautiful,Alessia Cara,Know-It-All (Deluxe),42.13,02:57,03:37
30,30.mp3,Somewhere (The Voice Performance),Alisan Porter,The Complete Season 10 Collection (The Voice Performance),52.16,01:53,02:43
32,32.mp3,Rise Up,Andra Day,Rise Up,35.11,03:17,03:50
39,39.mp3,Thief,Ansel Elgort,Thief,44.14,02:51,03:33
40,40.mp3,Beauty and the Beast,Ariana Grande,"Beauty and the Beast (From ""Beauty and the Beast"")",37.13,02:35,03:10
44,44.mp3,Forever Country,Artists Of Then,Forever Country,60.17,02:49,03:47
47,47.mp3,Suga Suga,Baby Bash,Now That's What I Call Music! Vol. 14,36.13,02:49,03:23
49,49.mp3,Good Grief,Bastille,Good Grief,34.12,02:53,03:25
52,52.mp3,Might Not,Belly,Up For Days,31.1,02:36,03:05
54,54.mp3,Brand New,Ben Rector,Brand New,29.11,03:05,03:32
55,55.mp3,No Favors,Big Sean,I Decided.,33.12,01:53,02:24
56,56.mp3,Blessings,Big Sean,Dark Sky Paradise (Deluxe),28.09,03:46,04:12
57,57.mp3,Bounce Back,Big Sean,I Decided.,49.14,01:50,02:37
58,58.mp3,Halfway Off the Balcony,Big Sean,I Decided.,55.17,01:55,02:48
60,60.mp3,Light,Big Sean,I Decided.,47.15,02:19,03:04
61,61.mp3,Moves,Big Sean,I Decided.,28.09,01:41,02:07
63,63.mp3,Owe Me,Big Sean,I Decided.,29.11,02:28,02:55
66,66.mp3,It Don't Hurt Like It Used To,Billy Currington,Summer Forever,25.11,02:23,02:46
67,67.mp3,River,Bishop Briggs,River,33.12,03:00,03:31
70,70.mp3,Came Here to Forget,Blake Shelton,If I'm Honest,30.11,02:24,02:52
71,71.mp3,Every Time I Hear That Song,Blake Shelton,If I'm Honest,28.09,02:18,02:44
79,79.mp3,Livin' On A Prayer,Bon Jovi,Slippery When Wet,48.15,03:23,04:09
